02/12 17:22:02 FINE aw.TACAgent|Log for game 78 started
02/12 17:25:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65610 auction=12 state=valid
02/12 17:25:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65611 auction=13 state=valid
02/12 17:25:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65612 auction=14 state=valid
02/12 17:25:13 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:25:13 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:25:13 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:25:13 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:25:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65610 auction=12 state=valid
02/12 17:25:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65611 auction=13 state=valid
02/12 17:25:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65612 auction=14 state=valid
02/12 17:25:23 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:25:23 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:25:23 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:25:23 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:25:33 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:25:33 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:25:33 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:25:33 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:25:43 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:25:43 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:25:43 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:25:43 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:25:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65610 auction=12 state=valid
02/12 17:25:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65611 auction=13 state=valid
02/12 17:25:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65612 auction=14 state=valid
02/12 17:25:53 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:25:53 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:25:53 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:25:53 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:25:59 FINE aw.PostTraumaticAgent|Fire you final weapons, yeeeeha, your final auction bid !
02/12 17:25:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? false, HQW:2
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:12
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 3
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Current time in milli is: 237344
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Predicted Price is: 47
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Current Price is: 512.0
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Current Price is: 565
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 4
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 240000
02/12 17:25:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? false, HQW:5
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:13
02/12 17:25:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65711 auction=12 state=valid
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 3
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Current time in milli is: 237349
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Predicted Price is: 174
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Current Price is: 422.0
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Current Price is: 348
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 4
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 240000
02/12 17:25:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? false, HQW:5
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:14
02/12 17:25:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65712 auction=13 state=valid
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 3
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Current time in milli is: 237355
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Predicted Price is: 197
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Current Price is: 433.0
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Current Price is: 336
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 4
02/12 17:25:59 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 240000
02/12 17:25:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65713 auction=14 state=valid
02/12 17:26:01 FINE aw.PostTraumaticAgent|Fire you final weapons, yeeeeha, your final auction bid !
02/12 17:26:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? false, HQW:2
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:12
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 3
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Current time in milli is: 239345
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Predicted Price is: 47
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Current Price is: 613.0
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Current Price is: 666
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 4
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 240000
02/12 17:26:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? false, HQW:5
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:26:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65714 auction=12 state=valid
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:13
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 3
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Current time in milli is: 239351
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Predicted Price is: 174
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Current Price is: 468.0
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Current Price is: 394
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 4
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 240000
02/12 17:26:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? false, HQW:5
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:26:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65715 auction=13 state=valid
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:14
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 3
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Current time in milli is: 239356
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Predicted Price is: 197
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Current Price is: 475.0
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Current Price is: 378
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 4
02/12 17:26:01 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 240000
02/12 17:26:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65716 auction=14 state=valid
02/12 17:26:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? true, HQW:2
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:12
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 4
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Current time in milli is: 241695
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Predicted Price is: 67
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Current Price is: 714.0
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Current Price is: 747
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 5
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 300000
02/12 17:26:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? true, HQW:5
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:13
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 4
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Current time in milli is: 241704
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Predicted Price is: 177
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Current Price is: 514.0
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Current Price is: 437
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 5
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 300000
02/12 17:26:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? true, HQW:5
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:14
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 4
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Current time in milli is: 241712
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Predicted Price is: 223
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Current Price is: 517.0
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Current Price is: 394
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 5
02/12 17:26:03 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 300000
02/12 17:26:03 FINE aw.PostTraumaticAgent|Hotel auction Cheap Hotel 3 closed!
02/12 17:26:03 FINE aw.PostTraumaticAgent|              and of course it was not added before in the closed list, right? true
02/12 17:26:03 FINE aw.PostTraumaticAgent|Old allocation: 0
02/12 17:26:03 FINE aw.PostTraumaticAgent|New allocation: 0
02/12 17:26:03 FINE aw.PostTraumaticAgent|Own: 0
02/12 17:26:03 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:26:03 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:26:03 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:26:03 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:26:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65717 auction=12 state=valid
02/12 17:26:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65718 auction=13 state=valid
02/12 17:26:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65719 auction=14 state=valid
02/12 17:26:13 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:26:13 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:26:13 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:26:13 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:26:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65717 auction=12 state=valid
02/12 17:26:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65718 auction=13 state=valid
02/12 17:26:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65719 auction=14 state=valid
02/12 17:26:23 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:26:23 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:26:23 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:26:23 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:26:33 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:26:33 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:26:33 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:26:33 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:26:43 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:26:43 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:26:43 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:26:43 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:26:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65717 auction=12 state=valid
02/12 17:26:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65718 auction=13 state=valid
02/12 17:26:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65719 auction=14 state=valid
02/12 17:26:53 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:26:53 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:26:53 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:26:53 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:26:59 FINE aw.PostTraumaticAgent|Fire you final weapons, yeeeeha, your final auction bid !
02/12 17:26:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? false, HQW:2
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:12
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 4
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Current time in milli is: 297366
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Predicted Price is: 67
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Current Price is: 802.0
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Current Price is: 835
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 5
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 300000
02/12 17:26:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? false, HQW:5
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:13
02/12 17:26:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65808 auction=12 state=valid
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 4
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Current time in milli is: 297371
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Predicted Price is: 177
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Current Price is: 557.0
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Current Price is: 480
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 5
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 300000
02/12 17:26:59 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? false, HQW:5
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:26:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65809 auction=13 state=valid
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:14
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 4
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Current time in milli is: 297378
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Predicted Price is: 223
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Current Price is: 558.0
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Current Price is: 435
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 5
02/12 17:26:59 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 300000
02/12 17:26:59 FINE aw.PostTraumaticAgent|Bid Updated: id=65810 auction=14 state=valid
02/12 17:27:01 FINE aw.PostTraumaticAgent|Fire you final weapons, yeeeeha, your final auction bid !
02/12 17:27:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? false, HQW:2
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:12
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 4
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Current time in milli is: 299367
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Predicted Price is: 67
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Current Price is: 890.0
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Current Price is: 923
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 5
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 300000
02/12 17:27:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? false, HQW:5
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:13
02/12 17:27:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65811 auction=12 state=valid
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 4
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Current time in milli is: 299372
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Predicted Price is: 177
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Current Price is: 600.0
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Current Price is: 523
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 5
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 300000
02/12 17:27:01 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 3 has HQW ? false, HQW:5
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:14
02/12 17:27:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65812 auction=13 state=valid
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 4
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Current time in milli is: 299378
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Predicted Price is: 223
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Current Price is: 599.0
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Current Price is: 476
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 5
02/12 17:27:01 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 300000
02/12 17:27:01 FINE aw.PostTraumaticAgent|Bid Updated: id=65813 auction=14 state=valid
02/12 17:27:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 1 has HQW ? true, HQW:2
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:12
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 5
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Current time in milli is: 301720
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Predicted Price is: 74
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Current Price is: 978.0
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Current Price is: 1004
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 6
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 360000
02/12 17:27:03 FINE aw.PostTraumaticAgent|Quote for auction: Good Hotel 2 has HQW ? true, HQW:5
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ This is the final bid mode, offset:100
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ This is hotel price predictor for hotel auction:13
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Current time in minutes is: 5
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Current time in milli is: 301728
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Predicted Price is: 175
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Current Price is: 643.0
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Current Price is: 568
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Predicted for time (min  ): 6
02/12 17:27:03 FINE aw.PostTraumaticAgent|************ Predicted for time (milli): 360000
02/12 17:27:03 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:27:03 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 0, 2]
02/12 17:27:03 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:27:03 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65814 auction=12 state=valid
02/12 17:27:03 FINE aw.PostTraumaticAgent|Bid Updated: id=65815 auction=13 state=valid
02/12 17:27:03 FINE aw.PostTraumaticAgent|Hotel auction Good Hotel 3 closed!
02/12 17:27:03 FINE aw.PostTraumaticAgent|              and of course it was not added before in the closed list, right? true
02/12 17:27:03 FINE aw.PostTraumaticAgent|Old allocation: 5
02/12 17:27:03 FINE aw.PostTraumaticAgent|New allocation: 0
02/12 17:27:03 FINE aw.PostTraumaticAgent|Own: 5
02/12 17:27:13 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 0, 1, 0, 1, 0, 1]
02/12 17:27:13 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 5, 2]
02/12 17:27:13 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 1, 0, 0, 0, 1, 0]
02/12 17:27:13 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:13 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:13 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65814 auction=12 state=valid
02/12 17:27:18 FINE aw.PostTraumaticAgent|Bid Updated: id=65815 auction=13 state=valid
02/12 17:27:23 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 1, 1, 0, 1, 1, 1]
02/12 17:27:23 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 5, 2]
02/12 17:27:23 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:27:23 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:23 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:23 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:33 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 1, 1, 0, 1, 1, 1]
02/12 17:27:33 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 5, 2]
02/12 17:27:33 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:27:33 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:33 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:33 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:43 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 1, 1, 0, 1, 1, 1]
02/12 17:27:43 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 5, 2]
02/12 17:27:43 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:27:43 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:43 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:43 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65814 auction=12 state=valid
02/12 17:27:48 FINE aw.PostTraumaticAgent|Bid Updated: id=65815 auction=13 state=valid
02/12 17:27:53 FINE aw.PostTraumaticAgent|Flight Owns: [0, 1, 1, 1, 0, 1, 1, 1]
02/12 17:27:53 FINE aw.PostTraumaticAgent|Hotel Owns: [0, 1, 0, 0, 0, 0, 5, 2]
02/12 17:27:53 FINE aw.PostTraumaticAgent|New Allocations after Processing: [0, 0, 0, 0, 0, 0, 0, 0]
02/12 17:27:53 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:53 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
02/12 17:27:53 FINE aw.PostTraumaticAgent|FlightPricePredictor buy now? false
